"";"id";"name";"text";"power";"toughness";"manaCost";"convertedManaCost";"specificManaCost";"colorIdentity";"type1";"type2"
"38";81;"Accursed Spirit";"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)";"3";"2";"{3}{B}";4;1;"B";"Creature";"Spirit"
"40";84;"Acid Web Spider";"Reach
When Acid Web Spider enters the battlefield, you may destroy target Equipment.";"3";"5";"{3}{G}{G}";5;2;"G";"Creature";"Spider"
"41";85;"Acid-Spewer Dragon";"Flying, deathtouch
Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.";"3";"3";"{5}{B}";6;1;"B";"Creature";"Dragon"
"42";87;"Acidic Slime";"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.";"2";"2";"{3}{G}{G}";5;2;"G";"Creature";"Ooze"
"43";88;"Acidic Sliver";"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target.""";"2";"2";"{B}{R}";2;2;"B";"Creature";"Sliver"
"44";90;"Acolyte of Xathrid";"{1}{B}, {T}: Target player loses 1 life.";"0";"1";"{B}";1;1;"B";"Creature";"Human Cleric"
"45";91;"Acolyte of the Inferno";"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.";"3";"1";"{2}{R}";3;1;"R";"Creature";"Human Monk"
"46";96;"Acridian";"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)";"2";"4";"{1}{G}";2;1;"G";"Creature";"Insect"
"47";107;"Adanto Vanguard";"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)";"1";"1";"{1}{W}";2;1;"W";"Creature";"Vampire Soldier"
"48";110;"Adaptive Snapjaw";"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)";"6";"2";"{4}{G}";5;1;"G";"Creature";"Lizard Beast"
"49";112;"Adarkar Unicorn";"{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.";"2";"2";"{1}{W}{W}";3;2;"U";"Creature";"Unicorn"
"50";116;"Adder-Staff Boggart";"When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.)";"2";"1";"{1}{R}";2;1;"R";"Creature";"Goblin Warrior"
"51";121;"Admonition Angel";"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.";"6";"6";"{3}{W}{W}{W}";6;3;"W";"Creature";"Angel"
"52";123;"Adorned Pouncer";"Double strike
Eternalize {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)";"1";"1";"{1}{W}";2;1;"W";"Creature";"Cat"
"53";127;"Advance Scout";"First strike
{W}: Target creature gains first strike until end of turn.";"1";"1";"{1}{W}";2;1;"W";"Creature";"Human Soldier Scout"
"54";128;"Advanced Hoverguard";"Flying
{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)";"2";"2";"{3}{U}";4;1;"U";"Creature";"Drone"
"55";129;"Advanced Stitchwing";"Flying
{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.";"3";"4";"{3}{U}{U}";5;2;"U";"Creature";"Zombie Horror"
"56";137;"Advocate of the Beast";"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.";"2";"3";"{2}{G}";3;1;"G";"Creature";"Elf Shaman"
"57";138;"Aegis Angel";"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)";"5";"5";"{4}{W}{W}";6;2;"W";"Creature";"Angel"
"58";145;"Aeon Chronicler";"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.
Suspend X—{X}{3}{U}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.";"*";"*";"{3}{U}{U}";5;2;"U";"Creature";"Avatar"
"59";146;"Aerathi Berserker";"Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)";"2";"4";"{2}{R}{R}{R}";5;3;"R";"Creature";"Human Berserker"
"60";147;"Aerial Caravan";"Flying
{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)";"4";"3";"{4}{U}{U}";6;2;"U";"Creature";"Human Soldier"
"61";148;"Aerial Engineer";"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.";"2";"4";"{2}{W}{U}";4;2;"U";"Creature";"Human Artificer"
"62";150;"Aerial Guide";"Flying
Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.";"2";"2";"{2}{U}";3;1;"U";"Creature";"Drake"
"63";154;"Aerial Responder";"Flying, vigilance, lifelink";"2";"3";"{1}{W}{W}";3;2;"W";"Creature";"Dwarf Soldier"
"64";157;"Aerie Bowmasters";"Reach (This creature can block creatures with flying.)
Megamorph {5}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)";"3";"4";"{2}{G}{G}";4;2;"G";"Creature";"Hound Archer"
"65";158;"Aerie Mystics";"Flying
{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)";"3";"3";"{4}{W}";5;1;"G";"Creature";"Bird Wizard"
"66";159;"Aerie Ouphes";"Sacrifice Aerie Ouphes: It deals damage equal to its power to target creature with flying.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)";"3";"3";"{4}{G}";5;1;"G";"Creature";"Ouphe"
"67";160;"Aerie Worshippers";"Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, create a 2/2 blue Bird enchantment creature token with flying.";"2";"4";"{3}{U}";4;1;"U";"Creature";"Human Cleric"
"68";161;"Aeromunculus";"Flying
{2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)";"2";"3";"{1}{G}{U}";3;2;"G";"Creature";"Homunculus Mutant"
"69";162;"Aeronaut Admiral";"Flying
Vehicles you control have flying.";"3";"1";"{3}{W}";4;1;"W";"Creature";"Human Pilot"
"70";163;"Aeronaut Tinkerer";"Aeronaut Tinkerer has flying as long as you control an artifact. (It can't be blocked except by creatures with flying or reach.)";"2";"3";"{2}{U}";3;1;"U";"Creature";"Human Artificer"
"71";167;"Aether Adept";"When Aether Adept enters the battlefield, return target creature to its owner's hand.";"2";"2";"{1}{U}{U}";3;2;"U";"Creature";"Human Wizard"
"72";171;"Aether Chaser";"First strike
When Aether Chaser enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Chaser attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.";"2";"1";"{1}{R}";2;1;"R";"Creature";"Human Artificer"
"73";172;"Aether Figment";"Kicker {3} (You may pay an additional {3} as you cast this spell.)
Aether Figment can't be blocked.
If Aether Figment was kicked, it enters the battlefield with two +1/+1 counters on it.";"1";"1";"{1}{U}";2;1;"U";"Creature";"Illusion"
"74";175;"Aether Herder";"When Aether Herder enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Herder attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.";"3";"3";"{3}{G}";4;1;"G";"Creature";"Elf Artificer Druid"
"75";177;"Aether Inspector";"Vigilance
When Aether Inspector enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Inspector attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.";"2";"3";"{3}{W}";4;1;"W";"Creature";"Dwarf Artificer"
"76";179;"Aether Membrane";"Defender; reach (This creature can block creatures with flying.)
Whenever Aether Membrane blocks a creature, return that creature to its owner's hand at end of combat.";"0";"5";"{1}{R}{R}";3;2;"R";"Creature";"Wall"
"77";181;"Aether Poisoner";"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Aether Poisoner enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Poisoner attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.";"1";"1";"{1}{B}";2;1;"B";"Creature";"Human Artificer"
"78";189;"Aether Swooper";"Flying
When Aether Swooper enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Swooper attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.";"1";"2";"{1}{U}";2;1;"U";"Creature";"Vedalken Artificer"
"79";190;"Aether Theorist";"When Aether Theorist enters the battlefield, you get {E}{E}{E} (three energy counters).
{T}, Pay {E}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)";"1";"3";"{1}{U}";2;1;"U";"Creature";"Vedalken Rogue"
"80";196;"Aetherborn Marauder";"Flying, lifelink
When Aetherborn Marauder enters the battlefield, move any number of +1/+1 counters from other permanents you control onto Aetherborn Marauder.";"2";"2";"{3}{B}";4;1;"B";"Creature";"Aetherborn Rogue"
"81";197;"Aetherflame Wall";"Defender
Aetherflame Wall can block creatures with shadow as though they didn't have shadow.
{R}: Aetherflame Wall gets +1/+0 until end of turn.";"0";"4";"{1}{R}";2;1;"R";"Creature";"Wall"
"82";199;"Aethergeode Miner";"Whenever Aethergeode Miner attacks, you get {E}{E} (two energy counters).
Pay {E}{E}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.";"3";"1";"{1}{W}";2;1;"W";"Creature";"Dwarf Scout"
"83";201;"Aetherling";"{U}: Exile Aetherling. Return it to the battlefield under its owner's control at the beginning of the next end step.
{U}: Aetherling can't be blocked this turn.
{1}: Aetherling gets +1/-1 until end of turn.
{1}: Aetherling gets -1/+1 until end of turn.";"4";"5";"{4}{U}{U}";6;2;"U";"Creature";"Shapeshifter"
"84";203;"Aetherplasm";"Whenever Aetherplasm blocks a creature, you may return Aetherplasm to its owner's hand. If you do, you may put a creature card from your hand onto the battlefield blocking that creature.";"1";"1";"{2}{U}{U}";4;2;"U";"Creature";"Illusion"
"85";204;"Aethershield Artificer";"At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)";"3";"3";"{3}{W}";4;1;"W";"Creature";"Dwarf Artificer"
"86";206;"Aethersnipe";"When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.
Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)";"4";"4";"{5}{U}";6;1;"U";"Creature";"Elemental"
"87";209;"Aethersquall Ancient";"Flying
At the beginning of your upkeep, you get {E}{E}{E} (three energy counters).
Pay {E}{E}{E}{E}{E}{E}{E}{E}: Return all other creatures to their owners' hands. Activate this ability only any time you could cast a sorcery.";"6";"6";"{5}{U}{U}";7;2;"U";"Creature";"Leviathan"
"88";210;"Aetherstorm Roc";"Flying
Whenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {E} (an energy counter).
Whenever Aetherstorm Roc attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.";"3";"3";"{2}{W}{W}";4;2;"W";"Creature";"Bird"
"89";211;"Aetherstream Leopard";"Trample
When Aetherstream Leopard enters the battlefield, you get {E} (an energy counter).
Whenever Aetherstream Leopard attacks, you may pay {E}. If you do, it gets +2/+0 until end of turn.";"2";"3";"{2}{G}";3;1;"G";"Creature";"Cat"
"90";212;"Aethertide Whale";"Flying
When Aethertide Whale enters the battlefield, you get {E}{E}{E}{E}{E}{E} (six energy counters).
Pay {E}{E}{E}{E}: Return Aethertide Whale to its owner's hand.";"6";"4";"{4}{U}{U}";6;2;"U";"Creature";"Whale"
"91";213;"Aethertorch Renegade";"When Aethertorch Renegade enters the battlefield, you get {E}{E}{E}{E} (four energy counters).
{T}, Pay {E}{E}: Aethertorch Renegade deals 1 damage to target creature.
{T}, Pay {E}{E}{E}{E}{E}{E}{E}{E}: Aethertorch Renegade deals 6 damage to target player or planeswalker.";"1";"2";"{2}{R}";3;1;"R";"Creature";"Human Rogue"
"92";215;"Aetherwind Basker";"Trample
Whenever Aetherwind Basker enters the battlefield or attacks, you get {E} (an energy counter) for each creature you control.
Pay {E}: Aetherwind Basker gets +1/+1 until end of turn.";"7";"7";"{4}{G}{G}{G}";7;3;"G";"Creature";"Lizard"
"93";217;"Affa Guard Hound";"Flash (You may cast this spell any time you could cast an instant.)
When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.";"2";"2";"{2}{W}";3;1;"W";"Creature";"Hound"
"94";218;"Affa Protector";"Vigilance";"1";"4";"{2}{W}";3;1;"W";"Creature";"Human Soldier Ally"
"95";219;"Affectionate Indrik";"When Affectionate Indrik enters the battlefield, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)";"4";"4";"{5}{G}";6;1;"G";"Creature";"Beast"
"97";225;"Agadeem Occultist";"{T}: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.";"0";"2";"{2}{B}";3;1;"B";"Creature";"Human Shaman Ally"
"98";226;"Ageless Entity";"Whenever you gain life, put that many +1/+1 counters on Ageless Entity.";"4";"4";"{3}{G}{G}";5;2;"G";"Creature";"Elemental"
"99";227;"Ageless Sentinels";"Defender (This creature can't attack.)
Flying
When Ageless Sentinels blocks, it becomes a Bird Giant, and it loses defender. (It's no longer a Wall. This effect lasts indefinitely.)";"4";"4";"{3}{W}";4;1;"W";"Creature";"Wall"
"100";230;"Agent of Horizons";"{2}{U}: Agent of Horizons can't be blocked this turn.";"3";"2";"{2}{G}";3;1;"G";"Creature";"Human Rogue"
"101";231;"Agent of Masks";"At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.";"2";"3";"{3}{W}{B}";5;2;"B";"Creature";"Human Advisor"
"102";232;"Agent of Shauku";"{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn.";"1";"1";"{1}{B}";2;1;"B";"Creature";"Human Mercenary"
"103";233;"Agent of Stromgald";"{R}: Add {B}.";"1";"1";"{R}";1;1;"B";"Creature";"Human Knight"
"104";234;"Agent of the Fates";"Deathtouch
Heroic — Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.";"3";"2";"{1}{B}{B}";3;2;"B";"Creature";"Human Assassin"
"105";239;"Aggressive Mammoth";"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample.";"8";"8";"{3}{G}{G}{G}";6;3;"G";"Creature";"Elephant"
"106";249;"Ahn-Crop Champion";"You may exert Ahn-Crop Champion as it attacks. When you do, untap all other creatures you control. (An exerted creature won't untap during your next untap step.)";"4";"4";"{2}{G}{W}";4;2;"G";"Creature";"Human Warrior"
"107";250;"Ahn-Crop Crasher";"Haste
You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. (An exerted creature won't untap during your next untap step.)";"3";"2";"{2}{R}";3;1;"R";"Creature";"Minotaur Warrior"
"108";253;"Ainok Artillerist";"Ainok Artillerist has reach as long as it has a +1/+1 counter on it. (It can block creatures with flying.)";"4";"1";"{2}{G}";3;1;"G";"Creature";"Hound Archer"
"109";254;"Ainok Bond-Kin";"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has first strike.";"2";"1";"{1}{W}";2;1;"W";"Creature";"Hound Soldier"
"110";255;"Ainok Guide";"When Ainok Guide enters the battlefield, choose one —
• Put a +1/+1 counter on Ainok Guide.
• Search your library for a basic land card, reveal it, then shuffle your library and put that card on top of it.";"1";"1";"{1}{G}";2;1;"G";"Creature";"Hound Scout"
"111";256;"Ainok Survivalist";"Megamorph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Ainok Survivalist is turned face up, destroy target artifact or enchantment an opponent controls.";"2";"1";"{1}{G}";2;1;"G";"Creature";"Hound Shaman"
"112";257;"Ainok Tracker";"First strike
Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";"3";"3";"{5}{R}";6;1;"R";"Creature";"Hound Scout"
"113";259;"Air Elemental";"Flying (This creature can't be blocked except by creatures with flying or reach.)";"4";"4";"{3}{U}{U}";5;2;"U";"Creature";"Elemental"
"114";260;"Air Servant";"Flying
{2}{U}: Tap target creature with flying.";"4";"3";"{4}{U}";5;1;"U";"Creature";"Elemental"
"115";262;"Airdrop Aeronauts";"Flying
Revolt — When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life.";"4";"3";"{3}{W}{W}";5;2;"W";"Creature";"Dwarf Scout"
"116";263;"Airdrop Condor";"Flying
{1}{R}, Sacrifice a Goblin creature: Airdrop Condor deals damage equal to the sacrificed creature's power to any target.";"2";"2";"{4}{R}";5;1;"R";"Creature";"Bird"
"117";264;"Aisling Leprechaun";"Whenever Aisling Leprechaun blocks or becomes blocked by a creature, that creature becomes green. (This effect lasts indefinitely.)";"1";"1";"{G}";1;1;"G";"Creature";"Faerie"
"118";270;"Ajani's Chosen";"Whenever an enchantment enters the battlefield under your control, create a 2/2 white Cat creature token. If that enchantment is an Aura, you may attach it to the token.";"3";"3";"{2}{W}{W}";4;2;"W";"Creature";"Cat Soldier"
"119";271;"Ajani's Comrade";"Trample
At the beginning of combat on your turn, if you control an Ajani planeswalker, put a +1/+1 counter on Ajani's Comrade.";"2";"2";"{1}{G}";2;1;"G";"Creature";"Elf Soldier"
"120";276;"Ajani's Pridemate";"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.";"2";"2";"{1}{W}";2;1;"W";"Creature";"Cat Soldier"
"121";277;"Ajani's Sunstriker";"Lifelink (Damage dealt by this creature also causes you to gain that much life.)";"2";"2";"{W}{W}";2;2;"W";"Creature";"Cat Cleric"
"122";285;"Akki Avalanchers";"Sacrifice a land: Akki Avalanchers gets +2/+0 until end of turn. Activate this ability only once each turn.";"1";"1";"{R}";1;1;"R";"Creature";"Goblin Warrior"
"123";286;"Akki Blizzard-Herder";"When Akki Blizzard-Herder dies, each player sacrifices a land.";"1";"1";"{1}{R}";2;1;"R";"Creature";"Goblin Shaman"
"124";287;"Akki Coalflinger";"First strike
{R}, {T}: Attacking creatures gain first strike until end of turn.";"2";"2";"{1}{R}{R}";3;2;"R";"Creature";"Goblin Shaman"
"125";288;"Akki Drillmaster";"{T}: Target creature gains haste until end of turn.";"2";"2";"{2}{R}";3;1;"R";"Creature";"Goblin Shaman"
"127";290;"Akki Raider";"Whenever a land is put into a graveyard from the battlefield, Akki Raider gets +1/+0 until end of turn.";"2";"1";"{1}{R}";2;1;"R";"Creature";"Goblin Warrior"
"128";291;"Akki Rockspeaker";"When Akki Rockspeaker enters the battlefield, add {R}.";"1";"1";"{1}{R}";2;1;"R";"Creature";"Goblin Shaman"
"129";292;"Akki Underling";"As long as you have seven or more cards in hand, Akki Underling gets +2/+1 and has first strike.";"2";"1";"{1}{R}";2;1;"R";"Creature";"Goblin Warrior"
"130";293;"Akki Underminer";"Whenever Akki Underminer deals combat damage to a player, that player sacrifices a permanent.";"1";"1";"{3}{R}";4;1;"R";"Creature";"Goblin Rogue Shaman"
